Time,Gender,LocationFamiliarity,ModeOfTransport,PresenceOfCompanions,PhoneBatteryLevel,PreviousIncidentArea,SafeToTravel
7,M,yes,auto,yes,49,yes,yes
5,Other,no,walk,no,74,yes,no
20,Other,yes,4-wheeler,no,93,yes,no
4,Other,no,auto,yes,38,yes,no
7,M,yes,2-wheeler,yes,40,yes,no
6,F,yes,walk,yes,71,yes,no
19,M,no,auto,yes,30,no,yes
18,Other,yes,2-wheeler,yes,14,yes,no
11,F,no,walk,yes,33,no,no
3,Other,no,auto,yes,66,no,no
15,Other,no,walk,no,99,yes,no
18,F,yes,auto,yes,20,yes,yes
2,Other,no,walk,no,14,no,no
13,Other,yes,auto,yes,77,no,yes
21,F,yes,4-wheeler,yes,30,yes,yes
15,F,yes,4-wheeler,yes,55,yes,yes
21,M,no,2-wheeler,no,74,no,no
18,Other,no,auto,yes,1,yes,no
7,M,no,walk,yes,99,yes,no
22,Other,yes,4-wheeler,yes,6,yes,no
8,Other,yes,4-wheeler,yes,82,yes,yes
22,Other,no,walk,yes,4,yes,no
8,Other,yes,auto,no,77,yes,no
20,Other,yes,walk,no,74,yes,no
22,F,yes,2-wheeler,yes,66,no,yes
6,Other,yes,auto,no,55,yes,no
7,F,no,4-wheeler,yes,79,yes,yes
11,Other,yes,2-wheeler,yes,53,yes,no
7,Other,no,auto,no,58,yes,no
22,Other,yes,2-wheeler,yes,40,yes,no
17,F,no,4-wheeler,yes,18,no,yes
17,Other,no,2-wheeler,yes,100,no,yes
5,Other,no,2-wheeler,no,71,no,no
4,Other,yes,walk,no,49,yes,no
23,F,no,auto,no,8,no,no
16,F,no,4-wheeler,no,67,no,yes
2,M,no,2-wheeler,no,78,yes,no
19,Other,no,auto,no,74,no,no
21,M,no,auto,no,40,no,no
10,Other,no,walk,no,4,no,no
20,M,no,walk,no,2,yes,no
23,Other,no,2-wheeler,no,25,no,no
6,M,yes,walk,no,23,no,no
14,Other,no,2-wheeler,yes,18,yes,no
22,F,no,walk,no,47,no,no
14,M,no,walk,yes,41,yes,no
1,M,yes,2-wheeler,yes,10,yes,no
3,M,yes,2-wheeler,yes,41,yes,no
3,M,yes,auto,no,82,yes,no
3,M,yes,walk,no,66,yes,no
23,M,yes,walk,no,70,no,no
3,Other,yes,4-wheeler,no,28,no,no
10,F,yes,2-wheeler,no,79,no,yes
24,F,yes,2-wheeler,yes,63,yes,no
2,M,no,4-wheeler,yes,79,yes,no
23,F,no,2-wheeler,yes,49,yes,no
19,F,yes,2-wheeler,no,23,no,yes
16,M,no,walk,yes,71,no,yes
4,F,no,auto,no,93,no,no
21,F,no,auto,no,30,no,no
22,F,no,auto,no,97,yes,no
12,Other,no,auto,no,4,no,no
7,M,no,4-wheeler,yes,12,no,yes
6,M,no,auto,yes,80,no,no
17,M,no,walk,no,78,yes,no
23,Other,yes,auto,no,82,yes,no
5,F,no,4-wheeler,no,69,yes,no
24,F,yes,4-wheeler,no,96,no,no
23,M,no,auto,no,9,no,no
2,Other,yes,walk,yes,18,yes,no
5,M,no,walk,yes,38,no,no
18,Other,yes,2-wheeler,no,86,yes,no
10,M,yes,2-wheeler,yes,4,no,yes
9,M,yes,2-wheeler,yes,12,no,yes
10,Other,yes,2-wheeler,no,66,yes,no
17,F,yes,4-wheeler,yes,10,no,yes
3,Other,no,4-wheeler,no,9,no,no
16,F,yes,4-wheeler,yes,21,yes,yes
19,M,yes,4-wheeler,no,5,yes,no
11,M,yes,2-wheeler,no,35,no,yes
10,Other,no,4-wheeler,yes,11,no,yes
9,Other,yes,walk,no,15,no,yes
4,F,no,auto,yes,66,no,no
7,M,yes,4-wheeler,no,28,yes,yes
23,F,yes,4-wheeler,no,36,yes,no
15,Other,yes,walk,no,33,yes,no
10,F,yes,4-wheeler,no,4,no,yes
13,Other,no,auto,no,43,no,yes
23,Other,no,4-wheeler,yes,34,no,no
6,Other,yes,auto,yes,23,no,yes
12,F,no,auto,no,11,yes,no
16,M,no,walk,no,54,no,no
21,M,no,auto,yes,87,no,yes
15,F,yes,auto,yes,70,yes,yes
15,M,yes,walk,no,34,yes,no
8,F,yes,walk,no,14,yes,no
14,F,no,auto,no,25,no,no
15,Other,no,walk,yes,62,yes,no
6,Other,yes,4-wheeler,no,11,no,yes
11,Other,yes,2-wheeler,no,61,no,yes
11,M,no,auto,yes,29,yes,no
19,F,yes,4-wheeler,no,51,yes,no
3,M,yes,2-wheeler,yes,53,no,no
16,Other,no,4-wheeler,yes,86,no,yes
19,Other,yes,4-wheeler,no,1,no,no
16,M,yes,4-wheeler,yes,72,no,yes
22,M,no,walk,no,61,yes,no
21,Other,yes,walk,yes,76,no,yes
17,F,yes,walk,yes,60,yes,yes
21,Other,no,4-wheeler,yes,94,no,yes
5,M,no,2-wheeler,no,42,no,no
14,M,no,4-wheeler,yes,88,no,yes
16,M,no,walk,yes,97,yes,no
2,M,yes,4-wheeler,no,74,no,yes
9,M,no,auto,yes,34,yes,no
10,Other,yes,2-wheeler,yes,71,yes,no
11,M,yes,walk,yes,75,no,yes
17,Other,yes,4-wheeler,yes,5,yes,yes
1,Other,yes,2-wheeler,yes,8,yes,no
14,F,yes,walk,yes,18,no,yes
9,F,yes,4-wheeler,yes,79,no,yes
1,F,no,walk,no,75,no,no
8,F,yes,walk,yes,7,yes,no
12,F,no,2-wheeler,yes,25,yes,no
11,M,no,4-wheeler,no,83,no,yes
13,F,no,walk,yes,62,no,no
11,F,no,4-wheeler,no,74,yes,no
9,Other,yes,2-wheeler,no,19,no,no
18,F,no,4-wheeler,no,96,yes,no
14,M,no,auto,yes,56,yes,no
22,Other,yes,auto,yes,27,no,no
23,Other,yes,auto,no,42,no,no
22,Other,yes,walk,no,7,no,no
21,Other,no,auto,yes,21,no,yes
5,Other,yes,walk,no,57,no,no
21,F,no,auto,yes,4,no,no
24,Other,no,auto,no,5,no,no
6,F,no,4-wheeler,no,12,yes,no
23,M,no,2-wheeler,yes,64,no,no
18,Other,no,walk,yes,18,no,no
24,Other,no,walk,yes,65,yes,no
23,M,yes,walk,yes,54,yes,no
23,Other,no,auto,yes,48,yes,no
13,Other,yes,walk,yes,70,no,yes
21,F,no,2-wheeler,no,32,no,no
16,Other,no,4-wheeler,no,64,yes,no
2,Other,no,auto,no,6,no,no
19,M,no,4-wheeler,no,94,no,no
7,F,no,walk,no,71,yes,no
7,M,yes,4-wheeler,no,84,no,yes
5,M,yes,4-wheeler,no,44,no,yes
4,Other,no,auto,yes,69,yes,no
2,M,no,walk,no,61,yes,no
10,M,yes,2-wheeler,yes,50,no,yes
4,Other,yes,2-wheeler,yes,14,no,no
9,F,no,walk,yes,37,no,no
16,Other,yes,walk,yes,91,yes,yes
17,Other,no,auto,no,92,no,no
12,Other,no,auto,no,99,no,no
21,Other,no,4-wheeler,yes,65,yes,no
11,F,no,2-wheeler,yes,10,yes,no
23,M,yes,2-wheeler,no,66,yes,no
19,F,yes,walk,yes,10,yes,no
4,F,no,walk,no,33,yes,no
9,Other,no,4-wheeler,yes,44,no,yes
14,F,no,4-wheeler,no,85,no,yes
11,F,yes,4-wheeler,yes,62,no,yes
2,F,no,auto,no,16,no,no
7,M,yes,2-wheeler,no,62,yes,no
1,Other,yes,auto,no,80,yes,no
11,M,yes,4-wheeler,no,51,yes,no
19,Other,yes,2-wheeler,yes,52,no,yes
8,M,no,4-wheeler,no,66,yes,no
10,F,yes,4-wheeler,yes,22,no,yes
23,M,no,4-wheeler,no,66,no,no
3,Other,yes,4-wheeler,no,19,no,no
9,F,no,walk,yes,33,no,yes
5,F,yes,walk,yes,92,yes,no
1,M,no,2-wheeler,yes,84,yes,no
19,F,yes,2-wheeler,no,47,yes,no
16,M,yes,2-wheeler,yes,33,yes,yes
15,M,yes,auto,yes,84,no,yes
22,M,yes,auto,yes,91,no,yes
17,F,yes,auto,no,58,yes,no
6,Other,no,2-wheeler,yes,41,no,yes
14,Other,no,4-wheeler,no,45,yes,no
18,Other,no,2-wheeler,no,56,yes,no
6,F,yes,2-wheeler,yes,27,yes,no
13,F,no,walk,no,25,no,no
19,M,no,2-wheeler,no,51,no,no
24,F,yes,walk,no,32,yes,no
9,Other,yes,2-wheeler,yes,62,no,yes
23,Other,yes,4-wheeler,no,19,yes,no
11,Other,no,auto,no,64,yes,no
7,F,yes,2-wheeler,no,8,yes,no
13,Other,no,walk,no,34,yes,no
16,Other,yes,auto,yes,16,no,yes
7,M,no,2-wheeler,no,98,yes,no
2,F,yes,2-wheeler,yes,7,yes,no
19,F,no,2-wheeler,no,69,yes,no
24,Other,no,walk,yes,85,no,no
3,Other,yes,walk,yes,10,no,no
3,Other,yes,auto,no,1,yes,no
1,M,no,walk,no,59,no,no
23,Other,yes,4-wheeler,no,77,yes,no
15,Other,no,2-wheeler,yes,25,yes,no
7,F,yes,4-wheeler,no,80,no,yes
4,Other,yes,4-wheeler,yes,58,no,yes
5,M,yes,walk,no,99,no,yes
17,Other,yes,auto,no,41,yes,no
20,F,no,2-wheeler,no,68,yes,no
16,Other,yes,4-wheeler,yes,74,no,yes
6,M,yes,auto,no,75,no,no
23,M,yes,auto,yes,86,yes,no
24,Other,no,4-wheeler,no,58,yes,no
23,Other,no,walk,no,35,yes,no
9,M,no,auto,no,45,no,no
2,F,no,auto,no,27,yes,no
15,Other,yes,auto,yes,44,no,yes
7,Other,no,2-wheeler,no,25,yes,no
23,F,no,2-wheeler,yes,76,yes,no
12,Other,no,4-wheeler,yes,13,no,yes
12,F,yes,2-wheeler,no,88,no,yes
3,F,no,2-wheeler,no,17,yes,no
8,F,no,auto,no,34,yes,no
8,M,yes,2-wheeler,yes,9,no,yes
10,M,yes,2-wheeler,yes,42,yes,no
22,F,no,auto,yes,42,no,no
18,F,no,2-wheeler,no,6,yes,no
10,F,no,4-wheeler,no,53,yes,no
9,F,no,4-wheeler,no,14,yes,no
15,M,yes,auto,no,47,no,yes
4,M,no,auto,yes,37,no,no
2,F,yes,2-wheeler,yes,67,no,no
19,F,no,4-wheeler,yes,17,yes,no
22,Other,no,4-wheeler,no,98,no,no
1,Other,yes,2-wheeler,no,97,yes,no
12,Other,no,4-wheeler,yes,18,no,yes
21,M,no,4-wheeler,yes,12,yes,no
2,F,no,4-wheeler,no,62,yes,no
13,F,yes,2-wheeler,yes,59,yes,yes
10,Other,no,walk,yes,69,no,no
2,M,no,2-wheeler,no,58,yes,no
12,M,no,4-wheeler,yes,11,no,yes
1,M,no,4-wheeler,yes,4,no,no
17,Other,no,4-wheeler,no,64,no,yes
13,M,no,2-wheeler,no,68,no,no
14,F,yes,walk,yes,73,yes,no
17,M,no,auto,yes,40,no,yes
8,Other,yes,4-wheeler,yes,42,no,yes
4,F,yes,walk,yes,11,yes,no
11,M,yes,auto,no,63,no,yes
23,F,no,walk,yes,39,yes,no
18,F,yes,2-wheeler,yes,89,no,yes
17,M,no,auto,no,4,no,no
20,M,yes,auto,no,54,yes,no
10,Other,no,2-wheeler,yes,42,no,yes
9,Other,no,2-wheeler,no,100,yes,no
23,M,no,4-wheeler,no,62,no,no
20,Other,yes,walk,yes,76,yes,no
20,Other,yes,4-wheeler,no,36,no,yes
6,F,yes,walk,no,55,yes,no
5,F,no,2-wheeler,no,24,no,no
5,Other,yes,walk,no,92,no,yes
6,Other,yes,4-wheeler,yes,86,no,yes
5,F,no,2-wheeler,no,9,no,no
11,F,no,4-wheeler,no,32,no,yes
20,Other,no,auto,yes,91,yes,no
8,M,no,auto,no,57,yes,no
21,Other,yes,auto,no,54,yes,no
9,Other,no,auto,yes,76,yes,no
10,Other,no,auto,yes,7,no,no
19,F,yes,auto,no,34,no,yes
23,M,no,auto,no,38,yes,no
16,Other,yes,auto,no,11,no,yes
19,M,yes,walk,yes,28,yes,no
22,M,yes,walk,yes,68,no,no
21,Other,yes,walk,no,1,yes,no
17,F,yes,walk,no,18,no,no
17,Other,no,4-wheeler,no,27,yes,no
21,F,no,2-wheeler,no,7,yes,no
10,Other,yes,walk,no,40,no,no
18,Other,yes,2-wheeler,no,59,yes,no
24,F,no,2-wheeler,no,4,no,no
8,F,no,walk,yes,90,no,no
17,M,yes,auto,yes,22,no,yes
13,Other,no,walk,no,30,yes,no
15,Other,yes,4-wheeler,no,20,no,yes
6,M,no,2-wheeler,no,65,no,no
6,M,no,auto,yes,81,yes,no
12,F,yes,auto,no,48,yes,no
22,F,no,walk,yes,40,no,no
24,F,no,walk,yes,88,yes,no
18,F,no,2-wheeler,yes,42,yes,no
3,Other,yes,walk,no,68,no,no
11,Other,yes,4-wheeler,no,74,no,yes
15,F,no,4-wheeler,no,41,yes,no
10,M,no,auto,yes,71,yes,no
6,M,yes,4-wheeler,yes,73,yes,yes
4,F,no,auto,no,1,no,no
13,Other,no,2-wheeler,no,43,no,yes
2,M,yes,walk,yes,33,yes,no
24,F,yes,2-wheeler,yes,5,yes,no
14,F,yes,4-wheeler,yes,21,no,yes
11,M,no,4-wheeler,yes,48,no,yes
9,Other,no,2-wheeler,yes,67,no,yes
4,F,yes,walk,no,16,yes,no
10,M,yes,auto,no,81,no,yes
15,Other,no,walk,no,18,yes,no
18,M,yes,4-wheeler,no,82,no,yes
3,M,no,2-wheeler,no,2,no,no
9,M,no,walk,no,43,no,no
21,M,yes,2-wheeler,yes,6,no,yes
16,M,yes,walk,no,74,yes,no
22,M,no,4-wheeler,yes,46,no,yes
19,F,yes,walk,yes,62,no,yes
16,Other,yes,walk,yes,27,yes,no
19,M,yes,2-wheeler,no,89,yes,no
14,F,no,2-wheeler,no,55,yes,no
15,F,yes,auto,no,76,no,yes
19,M,yes,4-wheeler,no,3,no,yes
12,Other,no,walk,yes,60,yes,no
2,F,yes,auto,no,94,yes,no
1,Other,yes,walk,no,55,yes,no
9,M,yes,2-wheeler,yes,51,yes,yes
24,F,no,4-wheeler,no,100,yes,no
14,F,no,2-wheeler,yes,19,no,no
4,F,no,2-wheeler,yes,55,yes,no
19,Other,no,2-wheeler,yes,10,no,no
17,Other,yes,walk,yes,82,yes,no
14,F,yes,auto,yes,19,yes,no
16,M,yes,walk,yes,27,yes,no
23,M,yes,auto,no,3,no,no
16,Other,yes,4-wheeler,no,18,yes,yes
16,M,yes,walk,yes,1,yes,no
23,Other,no,auto,no,67,no,no
24,F,yes,walk,no,42,no,no
13,M,yes,2-wheeler,yes,16,no,yes
7,Other,yes,4-wheeler,no,96,no,yes
7,F,no,auto,no,60,yes,no
18,F,no,2-wheeler,no,22,no,no
1,M,yes,walk,yes,89,yes,no
16,M,yes,2-wheeler,yes,63,no,yes
22,F,no,auto,yes,56,no,no
11,M,yes,2-wheeler,no,86,no,yes
16,Other,yes,2-wheeler,no,5,yes,no
21,Other,no,4-wheeler,no,29,no,no
11,F,yes,2-wheeler,yes,96,yes,yes
13,Other,no,2-wheeler,yes,27,yes,no
6,Other,yes,2-wheeler,yes,86,yes,no
22,M,yes,2-wheeler,no,1,yes,no
1,M,yes,4-wheeler,yes,97,yes,yes
9,M,yes,walk,yes,73,no,yes
18,Other,no,auto,no,8,no,no
17,Other,yes,walk,no,75,no,yes
15,Other,yes,4-wheeler,no,20,no,yes
23,M,no,4-wheeler,no,79,no,no
13,Other,yes,4-wheeler,yes,46,no,yes
16,M,yes,auto,yes,98,no,yes
18,Other,no,2-wheeler,no,79,no,no
13,M,yes,walk,no,90,yes,no
7,Other,no,walk,no,58,yes,no
21,F,no,4-wheeler,yes,13,no,yes
2,F,yes,2-wheeler,no,94,no,no
8,M,no,walk,no,41,no,no
24,Other,yes,4-wheeler,no,58,yes,no
8,M,no,auto,yes,20,yes,no
4,Other,yes,auto,no,34,yes,no
22,F,yes,4-wheeler,no,82,no,yes
19,F,yes,walk,yes,92,no,yes
24,F,no,walk,yes,41,yes,no
3,Other,no,auto,yes,80,yes,no
5,F,yes,walk,no,82,yes,no
11,F,yes,auto,no,3,yes,no
23,Other,no,auto,yes,18,no,no
8,Other,yes,walk,no,55,no,yes
19,Other,no,auto,yes,43,yes,no
22,M,yes,auto,yes,79,no,yes
1,Other,yes,auto,no,4,no,no
1,M,yes,4-wheeler,no,20,yes,no
24,Other,no,2-wheeler,yes,36,yes,no
2,F,yes,4-wheeler,yes,4,yes,no
1,Other,yes,2-wheeler,yes,33,no,yes
12,M,yes,walk,yes,22,yes,no
17,Other,no,auto,no,88,yes,no
17,F,no,4-wheeler,yes,96,no,yes
24,Other,no,2-wheeler,yes,92,yes,no
21,M,no,auto,no,13,yes,no
18,F,yes,4-wheeler,no,100,yes,yes
1,F,yes,walk,no,38,yes,no
3,M,no,4-wheeler,no,66,no,no
24,Other,yes,auto,yes,52,no,yes
22,M,no,walk,no,12,no,no
20,M,no,walk,no,77,no,no
10,Other,no,4-wheeler,yes,43,yes,yes
21,M,yes,auto,no,47,no,yes
3,F,no,walk,yes,54,yes,no
7,M,no,4-wheeler,yes,76,yes,no
6,Other,yes,auto,no,74,yes,no
22,F,yes,4-wheeler,yes,52,no,yes
2,Other,no,2-wheeler,no,11,no,no
17,Other,yes,auto,no,54,no,yes
21,F,yes,2-wheeler,yes,25,no,yes
16,M,yes,auto,no,71,yes,no
18,F,no,auto,yes,9,yes,no
21,M,no,4-wheeler,no,44,yes,no
2,F,no,4-wheeler,yes,26,yes,no
14,M,no,2-wheeler,no,8,yes,no
1,Other,yes,2-wheeler,yes,93,yes,no
19,M,no,auto,no,75,no,no
19,Other,yes,auto,yes,71,yes,no
14,F,no,4-wheeler,yes,34,no,yes
22,M,yes,2-wheeler,no,13,no,no
8,M,yes,2-wheeler,no,54,yes,no
16,F,yes,2-wheeler,yes,1,yes,no
1,F,yes,walk,yes,41,yes,no
7,M,no,auto,no,50,no,yes
3,Other,no,auto,yes,16,yes,no
13,F,no,auto,no,77,yes,no
5,M,no,walk,no,41,no,no
5,Other,yes,walk,no,11,no,no
12,Other,yes,auto,yes,9,yes,no
23,M,yes,walk,no,19,no,no
4,Other,yes,4-wheeler,no,5,yes,no
17,F,no,4-wheeler,yes,85,no,yes
3,Other,yes,auto,no,35,yes,no
6,Other,no,2-wheeler,yes,3,yes,no
9,Other,no,2-wheeler,yes,26,yes,no
15,M,no,walk,yes,83,no,yes
10,M,no,walk,no,38,yes,no
20,M,no,2-wheeler,yes,2,no,no
17,F,no,auto,no,20,yes,no
14,M,no,2-wheeler,yes,5,no,no
14,M,no,walk,yes,70,yes,no
7,F,yes,walk,no,82,no,yes
8,F,no,auto,no,18,no,no
11,F,yes,4-wheeler,no,35,yes,no
22,F,no,4-wheeler,yes,18,no,no
9,F,yes,2-wheeler,no,39,yes,no
17,M,no,walk,no,90,no,no
11,M,yes,4-wheeler,yes,49,no,yes
4,Other,no,4-wheeler,no,96,yes,no
24,F,yes,auto,yes,79,no,yes
13,F,yes,auto,yes,74,yes,yes
3,M,yes,4-wheeler,yes,41,no,yes
10,M,no,2-wheeler,yes,95,yes,no
13,F,yes,2-wheeler,no,7,no,yes
21,M,no,auto,yes,79,yes,no
8,Other,yes,auto,no,72,yes,no
4,F,yes,4-wheeler,no,52,no,yes
21,F,no,auto,no,90,yes,no
13,M,yes,auto,no,1,no,no
16,M,no,auto,no,31,yes,no
15,M,no,auto,no,44,yes,no
21,M,yes,walk,no,17,no,no
16,F,yes,4-wheeler,no,54,no,yes
20,Other,yes,4-wheeler,yes,44,no,yes
3,F,no,auto,no,23,yes,no
10,F,no,2-wheeler,yes,63,yes,no
19,M,no,auto,yes,32,no,no
16,M,yes,2-wheeler,no,85,yes,no
23,Other,yes,4-wheeler,no,84,no,no
21,F,yes,walk,yes,11,no,no
12,Other,no,4-wheeler,no,51,yes,no
1,M,yes,auto,no,23,yes,no
2,M,yes,2-wheeler,no,10,no,no
22,F,no,2-wheeler,no,25,no,no
6,Other,yes,4-wheeler,no,72,yes,no
1,M,yes,walk,no,23,no,no
10,M,no,4-wheeler,no,37,yes,no
17,Other,no,4-wheeler,yes,16,no,yes
19,F,yes,walk,no,68,no,no
5,M,no,2-wheeler,yes,59,no,yes
18,F,no,auto,yes,90,no,yes
20,F,no,2-wheeler,no,99,no,no
1,Other,no,4-wheeler,yes,93,no,yes
4,Other,no,walk,yes,85,no,no
8,Other,no,2-wheeler,no,77,yes,no
8,Other,yes,4-wheeler,no,58,no,yes
23,Other,no,4-wheeler,no,67,no,no
10,M,yes,walk,no,32,no,no
14,F,no,2-wheeler,yes,79,yes,no
13,F,yes,walk,yes,32,yes,no
17,M,yes,walk,no,73,no,yes
17,Other,no,2-wheeler,yes,37,no,no
24,F,yes,walk,no,78,no,no
4,F,no,2-wheeler,yes,19,yes,no
9,F,yes,auto,no,82,yes,no
14,M,yes,2-wheeler,yes,52,no,yes
3,M,no,auto,yes,9,yes,no
22,F,no,4-wheeler,no,72,yes,no
9,F,no,2-wheeler,yes,45,yes,no
4,F,no,2-wheeler,no,34,yes,no
6,F,no,4-wheeler,yes,37,yes,no
8,Other,no,walk,no,56,no,no
6,M,no,walk,yes,46,no,no
10,M,yes,2-wheeler,no,89,no,yes
20,M,no,2-wheeler,yes,74,no,no
7,F,no,walk,yes,88,no,yes
13,M,yes,auto,yes,25,yes,yes
7,M,yes,2-wheeler,no,85,yes,no
9,Other,yes,auto,no,61,no,yes
9,M,yes,2-wheeler,yes,99,no,yes
7,Other,no,2-wheeler,yes,7,yes,no
